Station Name,Country,County,Operator,Visited,Visit Date,Favorite,Latitude,Longitude,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,201,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Apperley Bridge,England,West Yorkshire,Northern,No,,,53.84175011,-1.705828671,,"362,988","263,090","91,410","394,558","375,794","372,436","350,312","96,418",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
Appleby,England,Cumbria,Northern,No,,,54.58034882,-2.486692584,,"52,674","47,476","11,232","60,310","57,526","60,254","61,446","53,036","57,078","62,600","60,992","68,884","70,808","61,984","61,904","61,781","61,886","66,449","62,521",n/a,"47,604","50,221","59,432","60,669","59,817","64,616"
Appledore,England,Kent,Southeastern,No,,,51.0332342,0.816341504,,"26,478","24,818","9,492","40,656","42,792","39,668","35,886","39,190","37,464","40,116","36,908","31,344","34,182","31,488","32,856","31,457","25,693","20,718","21,126",n/a,"15,459","15,678","15,984","19,399","18,030","19,577"
Appleford,England,Oxfordshire,Great Western Railway,No,,,51.63964155,-1.242141532,,"7,234","5,336","1,768","7,232","7,504","6,562","6,426","7,752","7,738","8,826","9,368","7,772","8,890","9,086","10,772","8,138","10,429","11,134","10,622",n/a,"7,157","8,046","7,363","8,745","7,231","7,197"
Appley Bridge,England,Lancashire,Northern,No,,,53.5786735,-2.719252513,,"130,716","127,662","39,006","226,782","224,338","231,150","246,606","247,246","243,034","241,738","241,314","237,396","226,086","220,060","206,156","178,291","174,175","171,572","146,150",n/a,"134,086","141,063","127,160","113,028","87,623","78,862"
Apsley,England,Hertfordshire,West Midlands Railway,No,,,51.73252082,-0.462934812,,"405,772","326,894","118,074","658,734","667,192","631,890","634,484","576,422","510,464","486,374","447,908","427,910","401,244","363,096","396,118","405,780","414,680","371,612","325,714",n/a,"247,521","253,407","247,220","281,238","244,116","230,131"
Arbroath,Scotland,Angus,ScotRail,No,,,56.5595763,-2.588931774,,"293,274","229,364","53,058","377,582","369,906","367,468","361,038","383,102","392,994","388,612","388,320","398,892","404,212","393,310","410,162","427,820","393,408","396,979","373,219",n/a,"284,392","279,723","261,208","251,994","241,169","237,251"
Ardgay,Scotland,Highland,ScotRail,No,,,57.88145761,-4.362090238,,"4,412","3,968",624,"6,408","6,998","7,140","7,144","6,732","8,416","8,806","8,108","8,890","7,404","7,388","6,516","5,851","3,964","3,067","2,297",n/a,"2,503","2,360","2,011","2,148","2,077","2,424"
Ardlui,Scotland,Argyll and Bute,ScotRail,No,,,56.30197237,-4.721658582,,"3,282","3,054",864,"3,982","5,622","5,104","5,426","5,072","5,074","4,566","2,216","2,260","2,092","1,970","2,212","1,870","2,383","2,344","2,309",n/a,"1,569","1,655","1,647","1,980","1,560","15,574"
Ardrossan Harbour,Scotland,North Ayrshire,ScotRail,No,,,55.63987823,-4.821111633,,"92,422","58,594","13,128","123,904","131,374","126,608","121,004","111,086","129,782","124,746","116,440","113,864","115,954","110,562","102,690","85,251","68,331","67,280","66,073",n/a,"59,444","55,827","54,443","54,001","55,398","58,758"
Ardrossan South Beach,Scotland,North Ayrshire,ScotRail,No,,,55.64142214,-4.801212641,,"143,200","118,668","23,670","215,924","220,638","229,512","224,466","221,090","219,186","218,638","241,502","235,224","229,090","216,002","219,852","201,388","191,782","186,954","180,767",n/a,"157,557","152,239","155,808","163,411","148,232","120,500"
Ardrossan Town,Scotland,North Ayrshire,ScotRail,No,,,55.63971246,-4.812676452,,"14,082","10,928","2,272","22,364","22,348","21,586","24,186","20,068","21,902","21,208","21,048","20,592","18,872","18,568","20,688","15,153","16,524","16,455","13,539",n/a,"7,132","7,954","9,060","9,445","10,691","10,226"
Ardwick,England,Greater Manchester,Northern,No,,,53.47134582,-2.213884175,,324,404,238,"1,520","1,238",882,860,896,542,568,616,584,668,754,574,479,456,358,285,n/a,281,591,407,473,486,920
Argyle Street,Scotland,Glasgow City,ScotRail,No,,,55.85730906,-4.250694863,,"809,914","773,154","382,016","1,311,820","1,295,376","1,411,372","1,413,190","1,382,948","1,438,396","1,369,928","1,336,662","1,196,468","783,634","734,756","748,878","606,397","616,686","574,278","467,305",n/a,"363,186","414,227","449,476","458,512","485,354","395,533"
Arisaig,Scotland,Highland,ScotRail,No,,,56.91255374,-5.839079499,,"4,196","3,802","1,072","5,942","6,226","6,886","6,262","7,058","7,596","7,394","7,390","7,526","7,622","7,076","6,188","7,290","7,636","7,086","7,228",n/a,"7,678","7,154","6,935","5,871","6,593","7,022"
Arlesey,England,Bedfordshire,GTR,No,,,52.02603001,-0.266319838,,"552,150","407,022","152,836","696,708","662,676","674,192","693,548","667,602","627,196","562,728","535,054","503,446","444,680","411,056","413,870","398,128","369,425","349,725","327,106",n/a,"256,882","254,655","225,525","218,291","228,141","191,235"
Armadale,Scotland,West Lothian,ScotRail,No,,,55.88571403,-3.695413343,,"172,918","134,362","35,928","251,770","260,082","249,778","238,688","215,390","186,334","164,696","141,076","126,088","11,170",N/A,N/A,N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
Armathwaite,England,Cumbria,Northern,No,,,54.80946798,-2.772071473,,"8,430","6,988","1,700","9,510","7,616","7,100","2,180","5,950","7,786","8,130","9,194","9,554","9,684","10,128","10,266","8,057","7,984","9,698","9,489",n/a,"8,340","8,806","10,604","10,219","8,265","6,813"
Arnside,England,Cumbria,Northern,No,,,54.2027315,-2.828241892,,"91,330","100,034","28,764","115,338","96,348","103,168","110,610","109,736","114,090","115,464","110,032","102,426","115,862","107,698","102,314","105,084","92,774","90,928","89,182",n/a,"76,334","84,757","87,048","89,763","81,226","79,970"
